"","id","persistentId","pidURL","filename","contentType","filesize","description","storageIdentifier","originalFileFormat","originalFormatLabel","originalFileSize","originalFileName","UNF","rootDataFileId","md5","creationDate"
"1",14929,"hdl:11529/10548507/8","https://hdl.handle.net/11529/10548507/8","CSISA_IND_LDS_Whe_2018_Data.tab","text/tab-separated-values",14525833,"Cleaned survey data anonymized file","s3://datarepository:174219f4338-f0870b5044e1","text/csv","Comma Separated Values",14754456,"CSISA_IND_LDS_Whe_2018_Data.csv","UNF:6:yZNo6PKuFZkLIvQtPh7/0g==",-1,"ff71e70f865ae3fb35e2c0a002b38131","2020-08-24"
"2",14928,"hdl:11529/10548507/7","https://hdl.handle.net/11529/10548507/7","Districts_Covered.png","image/png",1320502,"Location map of districts covered","s3://datarepository:17417ab4525-6d71976deeaa",NA,NA,NA,NA,NA,-1,"5b70f724fbe8f2db2b4cd612ecde763f","2020-08-22"
"3",14925,"hdl:11529/10548507/5","https://hdl.handle.net/11529/10548507/5","LDS_Codebook.pdf","application/pdf",247160,"Another version of questionnaire with coded options","s3://datarepository:17417a91a6d-c88d79796fdc",NA,NA,NA,NA,NA,-1,"0755cb661b3cd0729434e862a58e992f","2020-08-22"
"4",14924,"hdl:11529/10548507/4","https://hdl.handle.net/11529/10548507/4","LDS_Guideline.pdf","application/pdf",963337,"Covers survey design and tools","s3://datarepository:174179fca96-820e0f1cd10b",NA,NA,NA,NA,NA,-1,"51909fc22f853301ed6dc4e6bfc92a58","2020-08-22"
"5",14923,"hdl:11529/10548507/3","https://hdl.handle.net/11529/10548507/3","LDS_Info.tab","text/tab-separated-values",2474,"Basic information about the data - purpose, collection time, collaborators, collectors, etc.","s3://datarepository:174179cf29e-6603a14b3f53","text/csv","Comma Separated Values",2386,"LDS_Info.csv","UNF:6:zIsvUIdL/V+S5JRpZF1eXg==",-1,"2ab6fca2b6e1baf2f23ea8953e837947","2020-08-22"
"6",14921,"hdl:11529/10548507/1","https://hdl.handle.net/11529/10548507/1","LDS_Variables_Details.tab","text/tab-separated-values",22782,"Details of variables captured in the survey","s3://datarepository:17417aa7d49-4ec0130fc3cb","text/csv","Comma Separated Values",21310,"LDS_Variables_Details.csv","UNF:6:XBAyo74FzVmDf7H3ZVg8UQ==",-1,"7f20fa2986da29868126145c5065538a","2020-08-22"
"7",14931,"hdl:11529/10548507/10","https://hdl.handle.net/11529/10548507/10","LDS_Whe_2018_R_Markdown.html","text/html",1212660,"R linked markdown file showing basic summary statistics of the survey data","s3://datarepository:17421a4e3c7-a882ab6ece50",NA,NA,NA,NA,NA,-1,"dda5cecd3df19a804a9dea1ee68752c3","2020-08-24"
"8",14930,"hdl:11529/10548507/9","https://hdl.handle.net/11529/10548507/9","LDS_Wheat_2018_Script.R","type/x-r-syntax",40042,"Script to read the data file in R Studio","s3://datarepository:17421a4e5cd-d6874d8f84fa",NA,NA,NA,NA,NA,-1,"d3ac79c4ab8d69041b6ebb61b26e05ec","2020-08-24"
"9",14922,"hdl:11529/10548507/2","https://hdl.handle.net/11529/10548507/2","ODK_Prog_Choices_Sheet.tab","text/tab-separated-values",33182,"ODK program file of options for all survey questions","s3://datarepository:17417a1eb7b-460eac8a2966","text/csv","Comma Separated Values",26867,"ODK_Prog_Choices_Sheet.csv","UNF:6:TtkoK9faNxnOfjOjTtnoAQ==",-1,"8d66f26dd119bd4d8104bdb6b4204ba6","2020-08-22"
"10",14927,"hdl:11529/10548507/6","https://hdl.handle.net/11529/10548507/6","ODK_Prog_Survey_Sheet.tab","text/tab-separated-values",74270,"ODK program file of questions","s3://datarepository:17417a0c911-1bcb165414df","text/csv","Comma Separated Values",67357,"ODK_Prog_Survey_Sheet.csv","UNF:6:kyIt+QAt3NTnuDvorM41sQ==",-1,"1035a09030ec1e3367ce406f4d378022","2020-08-22"
